,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
259,7/9/14 19:51,7/9/14 19:54,Married,11-15 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,4,3,4,0,1.0,1.0,1.0
260,7/9/14 19:50,7/9/14 19:53,Married,More than 20 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,West North Central,4,4,5,1,3.0,4.0,1.0
261,7/9/14 19:50,7/9/14 19:53,Married,6-10 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,1,0,0,0,0,0,1,Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,3,4,5,1,5.0,5.0,3.0
263,7/9/14 19:50,7/9/14 19:52,Married,11-15 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Strongly agree,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Bachelor degree,West South Central,0,2,4,1,5.0,5.0,5.0
265,7/9/14 19:50,7/9/14 19:53,Married,11-15 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,3,3,4,0,2.0,4.0,1.0
266,7/9/14 19:50,7/9/14 19:53,Married,11-15 years,A few times per week,On the couch/chair,"Shared bedroom, different bed",0,0,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Somewhat disagree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central,2,2,4,1,2.0,5.0,3.0
267,7/9/14 19:50,7/9/14 19:53,Married,6-10 years,Once a month or less,On the couch/chair,On the couch/chair,0,0,0,0,0,1,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,3,2,4,1,1.0,3.0,1.0
268,7/9/14 19:49,7/9/14 19:51,Married,More than 20 years,Every night,On the couch/chair,"Shared bedroom, different bed",0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,law enforcement,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,4,3,0,1.0,1.0,1.0
269,7/9/14 19:49,7/9/14 19:51,In a domestic partnership or civil union,Less than 1 year,Once a month or less,On the couch/chair,On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,30-44,"$25,000 - $49,999",Graduate degree,Mountain,2,2,5,0,1.0,2.0,3.0
271,7/9/14 19:49,7/9/14 19:51,Married,More than 20 years,Every night,"Shared bedroom, different bed","Shared bedroom, different bed",1,1,0,0,1,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Management & Community Development Consultant,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific,3,4,5,0,5.0,5.0,3.0
275,7/9/14 19:49,7/9/14 19:51,Married,1-5 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Healthcare Support Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,1,1,3,1,3.0,1.0,3.0
278,7/9/14 19:48,7/9/14 19:50,In a domestic partnership or civil union,6-10 years,A few times per month,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Speculator,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,3,2,4,0,3.0,4.0,3.0
279,7/9/14 19:48,7/9/14 19:50,Married,11-15 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Legal Occupations,Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,0,2,5,1,1.0,2.0,3.0
280,7/9/14 19:48,7/9/14 19:50,Married,More than 20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Architecture and Engineering Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,4,4,4,0,2.0,3.0,3.0
281,7/9/14 19:48,7/9/14 19:50,Married,More than 20 years,Once a month or less,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,1,0,1,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Business and Financial Operations Occupations,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic,5,2,4,0,1.0,1.0,3.0
283,7/9/14 19:47,7/9/14 19:49,"Single, but cohabiting with a significant other",1-5 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Somewhat disagree,"Life, Physical, and Social Science Occupations",Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,2,1,4,1,4.0,5.0,2.0
285,7/9/14 19:47,7/9/14 19:52,"Single, but cohabiting with a significant other",1-5 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,1,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Food Preparation and Serving Related Occupations,Male,30-44,Did not disclose,Some college or Associate degree,West South Central,0,2,3,0,4.0,5.0,1.0
286,7/9/14 19:47,7/9/14 19:50,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,0,0,0,1,1,0,0,0,0,0,0,After 20 years of our relationship,Strongly agree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,4,4,5,0,5.0,5.0,1.0
287,7/9/14 19:42,7/9/14 19:58,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,3,4,3,0,1.0,1.0,1.0
289,7/9/14 19:45,7/9/14 19:47,Married,1-5 years,Once a month or less,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Sales and Related Occupations,Female,30-44,"$150,000+",Graduate degree,West South Central,5,2,5,1,3.0,4.0,3.0
291,7/9/14 19:44,7/9/14 19:47,Married,6-10 years,Once a year or less,On the couch/chair,Other (please specify),0,0,0,0,1,1,1,0,0,1,0,Within the first 1-5 years of our relationship,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Food Preparation and Serving Related Occupations,Female,30-44,"$0 - $24,999",Some college or Associate degree,Pacific,1,2,3,1,4.0,2.0,3.0
293,7/9/14 19:44,7/9/14 19:47,Married,11-15 years,A few times per week,"Shared bedroom, different bed","My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,1,0,0,1,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Neither agree nor disagree,Somewhat agree,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific,4,3,3,0,4.0,3.0,4.0
295,7/9/14 19:43,7/9/14 19:47,Married,More than 20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,1,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Semi-retired,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central,4,4,5,0,3.0,3.0,3.0
299,7/9/14 19:43,7/9/14 19:45,Married,11-15 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,1,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat disagree,Somewhat agree,Somewhat disagree,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic,4,3,5,1,2.0,4.0,2.0
301,7/9/14 19:43,7/9/14 19:46,Married,6-10 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,1,0,0,1,0,1,1,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",Graduate degree,East South Central,3,3,5,1,3.0,5.0,3.0
305,7/9/14 19:42,7/9/14 19:47,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,1,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,3,2,4,0,3.0,4.0,3.0
307,7/9/14 19:42,7/9/14 19:44,Married,16-20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,1,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,3,2,3,1,3.0,4.0,3.0
308,7/9/14 19:42,7/9/14 19:43,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,1.0,1.0,1.0
310,7/9/14 19:42,7/9/14 19:57,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,1,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,telecomunication,Male,45-60,"$150,000+",Bachelor degree,Pacific,5,3,4,0,3.0,4.0,2.0
311,7/9/14 19:42,7/9/14 19:45,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,1,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,retired,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,4,4,5,1,3.0,5.0,3.0
312,7/9/14 19:42,7/9/14 19:44,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,0,0,0,1,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Research,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,3,1,4,0,1.0,2.0,1.0
314,7/9/14 19:42,7/9/14 19:46,Married,6-10 years,Once a month or less,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,1,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agricultural business,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific,4,2,5,1,2.0,2.0,2.0
317,7/9/14 19:41,7/9/14 19:43,Married,More than 20 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Somewhat disagree,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Bachelor degree,West North Central,0,3,4,1,1.0,4.0,2.0
318,7/9/14 19:41,7/9/14 19:43,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Management Occupations,Female,30-44,"$150,000+",Graduate degree,East North Central,5,2,5,1,1.0,1.0,1.0
321,7/9/14 19:41,7/9/14 19:43,Married,16-20 years,Once a year or less,On the couch/chair,Separate bedroom,0,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Bachelor degree,New England,0,3,4,0,2.0,2.0,1.0
322,7/9/14 19:40,7/9/14 19:43,In a domestic partnership or civil union,More than 20 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,disabled student,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,2,2,3,1,1.0,2.0,1.0
325,7/9/14 19:40,7/9/14 19:44,Married,11-15 years,A few times per month,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,1,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,maintenance,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,3,2,3,0,2.0,2.0,3.0
326,7/9/14 19:40,7/9/14 19:43,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,1,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,45-60,"$150,000+",Bachelor degree,West North Central,5,3,4,0,4.0,5.0,3.0
328,7/9/14 19:40,7/9/14 19:41,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,4,3,5,0,1.0,1.0,1.0
329,7/9/14 19:40,7/9/14 19:40,Widowed,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
331,7/9/14 19:39,7/9/14 19:41,Married,More than 20 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,education,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,3,3,5,0,3.0,4.0,2.0
333,7/9/14 19:38,7/9/14 19:42,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,1,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Retired,Male,> 60,"$150,000+",Graduate degree,East North Central,5,4,5,0,3.0,4.0,3.0
334,7/9/14 19:38,7/9/14 19:42,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Management Occupations,Male,30-44,"$150,000+",Graduate degree,West North Central,5,2,5,0,3.0,3.0,2.0
337,7/9/14 19:38,7/9/14 19:39,Married,1-5 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,1,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,1.0,1.0,1.0
339,7/9/14 19:38,7/9/14 19:40,Married,11-15 years,Every night,Separate bedroom,Separate bedroom,1,0,0,1,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West South Central,2,4,3,1,5.0,5.0,3.0
341,7/9/14 19:37,7/9/14 19:39,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Somewhat agree,Strongly agree,Somewhat disagree,Retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,4,4,3,0,4.0,5.0,2.0
344,7/9/14 19:37,7/9/14 19:40,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Legal Occupations,Female,45-60,Did not disclose,Some college or Associate degree,West North Central,0,3,3,1,3.0,2.0,3.0
345,7/9/14 19:37,7/9/14 19:39,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,1,0,1,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Strongly disagree,Strongly agree,Neither agree nor disagree,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,4,3,3,0,1.0,5.0,3.0
